Address	Ordinal	Name	Library
0040A000		InitCommonControlsEx	COMCTL32
0040A008		DeleteObject	GDI32
0040A00C		CreateFontIndirectW	GDI32
0040A010		GetStockObject	GDI32
0040A014		GetObjectW	GDI32
0040A01C		DeactivateActCtx	KERNEL32
0040A020		LocalFree	KERNEL32
0040A024		GetCurrentThreadId	KERNEL32
0040A028		GetLastError	KERNEL32
0040A02C		IsDebuggerPresent	KERNEL32
0040A030		UnhandledExceptionFilter	KERNEL32
0040A034		GetCurrentProcess	KERNEL32
0040A038		TerminateProcess	KERNEL32
0040A03C		GetSystemTimeAsFileTime	KERNEL32
0040A040		GetCurrentProcessId	KERNEL32
0040A044		SetLastError	KERNEL32
0040A048		GetTickCount	KERNEL32
0040A04C		QueryPerformanceCounter	KERNEL32
0040A050		SetUnhandledExceptionFilter	KERNEL32
0040A054		DecodePointer	KERNEL32
0040A058		EncodePointer	KERNEL32
0040A05C		GetStartupInfoW	KERNEL32
0040A060		HeapSetInformation	KERNEL32
0040A064		InterlockedCompareExchange	KERNEL32
0040A068		Sleep	KERNEL32
0040A06C		InterlockedExchange	KERNEL32
0040A070		lstrcpyW	KERNEL32
0040A074		InterlockedDecrement	KERNEL32
0040A078		InterlockedIncrement	KERNEL32
0040A07C		ActivateActCtx	KERNEL32
0040A080		GetProcAddress	KERNEL32
0040A084		GetModuleHandleW	KERNEL32
0040A088		LoadLibraryW	KERNEL32
0040A090		_except_handler3	MSVCR100
0040A094		_CxxThrowException	MSVCR100
0040A098		_crt_debugger_hook	MSVCR100
0040A09C		type_info::_type_info_dtor_internal_method(void)	MSVCR100
0040A0A0		_controlfp_s	MSVCR100
0040A0A4		_invoke_watson	MSVCR100
0040A0A8		_except_handler4_common	MSVCR100
0040A0AC		terminate(void)	MSVCR100
0040A0B0		_onexit	MSVCR100
0040A0B4		_lock	MSVCR100
0040A0B8		__dllonexit	MSVCR100
0040A0BC		_unlock	MSVCR100
0040A0C0		__set_app_type	MSVCR100
0040A0C4		_fmode	MSVCR100
0040A0C8		_commode	MSVCR100
0040A0CC		__setusermatherr	MSVCR100
0040A0D0		_configthreadlocale	MSVCR100
0040A0D4		_initterm_e	MSVCR100
0040A0D8		_initterm	MSVCR100
0040A0DC		_wcmdln	MSVCR100
0040A0E0		exit	MSVCR100
0040A0E4		_XcptFilter	MSVCR100
0040A0E8		_exit	MSVCR100
0040A0EC		_cexit	MSVCR100
0040A0F0		__wgetmainargs	MSVCR100
0040A0F4		_amsg_exit	MSVCR100
0040A0F8		_purecall	MSVCR100
0040A0FC		__wargv	MSVCR100
0040A100		__argc	MSVCR100
0040A104		__CxxFrameHandler3	MSVCR100
0040A10C	2	SysAllocString(x)	OLEAUT32
0040A110	9	VariantClear(x)	OLEAUT32
0040A118		PathFileExistsW	SHLWAPI
0040A120		MessageBoxW	USER32
0040A124		RedrawWindow	USER32
0040A128		GetSystemMetrics	USER32
0040A12C		LoadImageW	USER32
0040A130		GetFocus	USER32
0040A134		IsChild	USER32
0040A138		EnableWindow	USER32
0040A13C		LoadBitmapW	USER32
0040A140		GetSysColor	USER32
0040A144		InflateRect	USER32
0040A148		GetWindowRect	USER32
0040A14C		UpdateWindow	USER32
0040A150		InvalidateRect	USER32
0040A154		GetClientRect	USER32
0040A158		ScreenToClient	USER32
0040A15C		SendMessageW	USER32
0040A160		GetSubMenu	USER32
0040A164		LoadMenuW	USER32
0040A168		SetRectEmpty	USER32
0040A16C		GetParent	USER32
0040A170		ClientToScreen	USER32
0040A178	8485	CFrameWnd::OnCreateClient(tagCREATESTRUCTW *,CCreateContext *)	mfc100u
0040A17C	10807	CMDIChildWndEx::OnUpdateFrameTitle(int)	mfc100u
0040A180	10799	CFrameWnd::OnUpdateFrameMenu(HMENU__ *)	mfc100u
0040A184	4756	CFrameWnd::GetDefaultAccelerator(void)	mfc100u
0040A188	3407	CFrameWnd::DelayUpdateFrameMenu(HMENU__ *)	mfc100u
0040A18C	4084	CFrameWnd::ExitHelpMode(void)	mfc100u
0040A190	10511	CFrameWnd::OnShowMenuBar(void)	mfc100u
0040A194	9470	CFrameWnd::OnHideMenuBar(void)	mfc100u
0040A198	2782	CMDIChildWnd::Create(wchar_t const *,wchar_t const *,ulong,tagRECT const &,CMDIFrameWnd *,CCreateContext *)	mfc100u
0040A19C	10801	CMDIChildWnd::OnUpdateFrameMenu(int,CWnd *,HMENU__ *)	mfc100u
0040A1A0	1763	CMDIChildWndEx::AdjustDockingLayout(void *)	mfc100u
0040A1A4	9888	CMDIChildWndEx::OnMoveMiniFrame(CWnd *)	mfc100u
0040A1A8	13943	CMDIChildWndEx::RegisterTaskbarTab(CMDIChildWndEx *)	mfc100u
0040A1AC	5006	CMDIChildWndEx::GetFrameText(void)	mfc100u
0040A1B0	5005	CMDIChildWndEx::GetFrameIcon(void)	mfc100u
0040A1B4	6243	CWnd::GetStyle(void)	mfc100u
0040A1B8	14014	CMDIChildWndEx::UpdateTaskbarTabIcon(HICON__ *)	mfc100u
0040A1BC	14070	CMDIChildWndEx::OnTaskbarTabThumbnailStretch(HBITMAP__ *,CRect const &,HBITMAP__ *,CRect const &)	mfc100u
0040A1C0	14065	CMDIChildWndEx::GetTaskbarPreviewWnd(void)	mfc100u
0040A1C4	14155	CMDIChildWndEx::OnPressTaskbarThmbnailCloseButton(void)	mfc100u
0040A1C8	14156	CMDIChildWndEx::OnTaskbarTabThumbnailActivate(uint,CWnd *,int)	mfc100u
0040A1CC	14157	CMDIChildWndEx::OnTaskbarTabThumbnailMouseActivate(CWnd *,uint,uint)	mfc100u
0040A1D0	14154	CMDIChildWndEx::GetTaskbarThumbnailClipRect(void)	mfc100u
0040A1D4	4833	CMDIChildWndEx::GetDocumentName(CObject * *)	mfc100u
0040A1D8	14158	CMDIChildWndEx::SetTaskbarThumbnailClipRect(CRect)	mfc100u
0040A1DC	14151	CMDIChildWndEx::ActivateTopLevelFrame(void)	mfc100u
0040A1E0	14215	CMDIChildWndEx::SetTaskbarTabText(wchar_t const *)	mfc100u
0040A1E4	10775	CMFCToolBar::OnUpdateCmdUI(CFrameWnd *,int)	mfc100u
0040A1E8	4360	CWnd::FromHandle(HWND__ *)	mfc100u
0040A1EC	684	CMFCToolBarMenuButton::CMFCToolBarMenuButton(uint,HMENU__ *,int,wchar_t const *,int)	mfc100u
0040A1F0	1144	CMFCToolBarMenuButton::~CMFCToolBarMenuButton(void)	mfc100u
0040A1F4	7767	CMFCToolBarImages CMFCToolBar::m_Images	mfc100u
0040A1F8	11134	CMFCToolBarImages::PrepareDrawImage(tagAFXDrawState &,CSize,int)	mfc100u
0040A1FC	8703	CMFCToolBarMenuButton::OnDraw(CDC *,CRect const &,CMFCToolBarImages *,int,int,int,int,int)	mfc100u
0040A200	3990	CMFCToolBarImages::EndDrawImage(tagAFXDrawState &)	mfc100u
0040A204	6523	CMFCToolBarMenuButton::GetThisClass(void)	mfc100u
0040A208	1867	AfxClassInit(CRuntimeClass *)	mfc100u
0040A20C	392	CDockablePane::CDockablePane(void)	mfc100u
0040A210	953	CDockablePane::~CDockablePane(void)	mfc100u
0040A214	457	CImageList::CImageList(void)	mfc100u
0040A218	1006	CImageList::~CImageList(void)	mfc100u
0040A21C	661	CMFCToolBar::CMFCToolBar(void)	mfc100u
0040A220	1130	CMFCToolBar::~CMFCToolBar(void)	mfc100u
0040A224	6714	CDockablePane::GetThisMessageMap(void)	mfc100u
0040A228	8432	CDockablePane::OnCreate(tagCREATESTRUCTW *)	mfc100u
0040A22C	2851	CTreeCtrl::Create(ulong,tagRECT const &,CWnd *,uint)	mfc100u
0040A230	2806	CMFCToolBar::Create(CWnd *,ulong,uint)	mfc100u
0040A234	7629	CMFCToolBar::LoadToolBar(uint,uint,uint,int,uint,uint,uint)	mfc100u
0040A238	7903	CMenu::MeasureItem(tagMEASUREITEMSTRUCT *)	mfc100u
0040A23C	3754	CMenu::DrawItem(tagDRAWITEMSTRUCT *)	mfc100u
0040A240	5900	CMenu::GetRuntimeClass(void)	mfc100u
0040A244	3482	CMenu::DestroyMenu(void)	mfc100u
0040A248	1905	AfxFindResourceHandle(wchar_t const *,wchar_t const *)	mfc100u
0040A24C	2188	CMenu::Attach(HMENU__ *)	mfc100u
0040A250	11688	CMFCToolBar::ReplaceButton(uint,CMFCToolBarButton const &,int)	mfc100u
0040A254	4359	CMenu::FromHandle(HMENU__ *)	mfc100u
0040A258	1893	AfxDynamicDownCast(CRuntimeClass *,CObject *)	mfc100u
0040A25C	4522	CMFCToolBar::GetButton(int)	mfc100u
0040A260	12473	CMFCToolBarButton::SetImage(int)	mfc100u
0040A264	4608	CCommandManager::GetCmdImage(uint,int)	mfc100u
0040A268	4609	GetCmdMgr(void)	mfc100u
0040A26C	10552	CBasePane::OnSize(uint,int,int)	mfc100u
0040A270	7251	CTreeCtrl::InsertItem(uint,wchar_t const *,int,int,uint,uint,long,_TREEITEM *,_TREEITEM *)	mfc100u
0040A274	12504	CTreeCtrl::SetItem(_TREEITEM *,uint,wchar_t const *,int,int,uint,uint,long)	mfc100u
0040A278	8412	CDockablePane::OnContextMenu(CWnd *,CPoint)	mfc100u
0040A27C	7095	CTreeCtrl::HitTest(CPoint,uint *)	mfc100u
0040A280	12413	CWnd::SetFocus(void)	mfc100u
0040A284	7399	CObject::IsKindOf(CRuntimeClass const *)	mfc100u
0040A288	1944	AfxGetThread(void)	mfc100u
0040A28C	6413	CMDIFrameWndEx::GetThisClass(void)	mfc100u
0040A290	554	CMFCPopupMenu::CMFCPopupMenu(void)	mfc100u
0040A294	13306	CWnd::UpdateDialogControls(CCmdTarget *,int)	mfc100u
0040A298	2303	CMFCToolBar::CalcFixedLayout(int,int)	mfc100u
0040A29C	12946	CBasePane::SetWindowPos(CWnd const *,int,int,int,int,uint,void *)	mfc100u
0040A2A0	12948	CWnd::SetWindowPos(CWnd const *,int,int,int,int,uint)	mfc100u
0040A2A4	11166	CDockablePane::PreTranslateMessage(tagMSG *)	mfc100u
0040A2A8	1987	AfxMessageBox(wchar_t const *,uint,uint)	mfc100u
0040A2AC	788	CPaintDC::CPaintDC(CWnd *)	mfc100u
0040A2B0	1212	CPaintDC::~CPaintDC(void)	mfc100u
0040A2B4	11940	CWnd::ScreenToClient(tagRECT *)	mfc100u
0040A2B8	3703	CDC::Draw3dRect(tagRECT const *,ulong,ulong)	mfc100u
0040A2BC	10391	CDockablePane::OnSetFocus(CWnd *)	mfc100u
0040A2C0	3433	CImageList::DeleteImageList(void)	mfc100u
0040A2C4	5799	CBitmap::GetRuntimeClass(void)	mfc100u
0040A2C8	4290	ATL::CStringT<wchar_t,StrTraitMFC_DLL<wchar_t,ATL::ChTraitsCRT<wchar_t>>>::Format(wchar_t const *,...)	mfc100u
0040A2CC	902	ATL::CStringT<wchar_t,StrTraitMFC_DLL<wchar_t,ATL::ChTraitsCRT<wchar_t>>>::~CStringT<wchar_t,StrTraitMFC_DLL<wchar_t,ATL::ChTraitsCRT<wchar_t>>>(void)	mfc100u
0040A2D0	296	ATL::CStringT<wchar_t,StrTraitMFC_DLL<wchar_t,ATL::ChTraitsCRT<wchar_t>>>::CStringT<wchar_t,StrTraitMFC_DLL<wchar_t,ATL::ChTraitsCRT<wchar_t>>>(void)	mfc100u
0040A2D4	3446	CGdiObject::DeleteObject(void)	mfc100u
0040A2D8	5862	CGdiObject::GetRuntimeClass(void)	mfc100u
0040A2DC	2185	CGdiObject::Attach(void *)	mfc100u
0040A2E0	2773	CImageList::Create(int,int,uint,int,int)	mfc100u
0040A2E4	1934	AfxGetModuleState(void)	mfc100u
0040A2E8	2062	AfxThrowInvalidArgException(void)	mfc100u
0040A2EC	4358	CImageList::FromHandle(_IMAGELIST *)	mfc100u
0040A2F0	2477	CMFCToolBar::CleanUpLockedImages(void)	mfc100u
0040A2F4	7552	CMFCToolBar::LoadBitmapW(uint,uint,uint,int,uint,uint)	mfc100u
0040A2F8	5999	CMFCToolBar::GetRuntimeClass(void)	mfc100u
0040A2FC	12050	CMFCToolBar::Serialize(CArchive &)	mfc100u
0040A300	8346	CCmdTarget::OnCmdMsg(uint,int,void *,AFX_CMDHANDLERINFO *)	mfc100u
0040A304	5397	CMFCToolBar::GetMessageMap(void)	mfc100u
0040A308	3491	CWnd::DestroyWindow(void)	mfc100u
0040A30C	11116	CWnd::PreCreateWindow(tagCREATESTRUCTW &)	mfc100u
0040A310	5276	CWnd::GetMenu(void)	mfc100u
0040A314	12557	CWnd::SetMenu(CMenu *)	mfc100u
0040A318	10721	CMFCToolBar::OnToolHitTest(CPoint,tagTOOLINFOW *)	mfc100u
0040A31C	4415	CBasePane::get_accParent(IDispatch * *)	mfc100u
0040A320	4381	CBasePane::get_accChildCount(long *)	mfc100u
0040A324	4377	CBasePane::get_accChild(tagVARIANT,IDispatch * *)	mfc100u
0040A328	4410	CBasePane::get_accName(tagVARIANT,wchar_t * *)	mfc100u
0040A32C	4432	CBasePane::get_accValue(tagVARIANT,wchar_t * *)	mfc100u
0040A330	4390	CBasePane::get_accDescription(tagVARIANT,wchar_t * *)	mfc100u
0040A334	4418	CBasePane::get_accRole(tagVARIANT,tagVARIANT *)	mfc100u
0040A338	4427	CBasePane::get_accState(tagVARIANT,tagVARIANT *)	mfc100u
0040A33C	4398	CBasePane::get_accHelp(tagVARIANT,wchar_t * *)	mfc100u
0040A340	4402	CBasePane::get_accHelpTopic(wchar_t * *,tagVARIANT,long *)	mfc100u
0040A344	4406	CBasePane::get_accKeyboardShortcut(tagVARIANT,wchar_t * *)	mfc100u
0040A348	4394	CBasePane::get_accFocus(tagVARIANT *)	mfc100u
0040A34C	4423	CBasePane::get_accSelection(tagVARIANT *)	mfc100u
0040A350	4385	CBasePane::get_accDefaultAction(tagVARIANT,wchar_t * *)	mfc100u
0040A354	1517	CBasePane::accSelect(long,tagVARIANT)	mfc100u
0040A358	1510	CBasePane::accLocation(long *,long *,long *,long *,tagVARIANT)	mfc100u
0040A35C	1506	CBasePane::accHitTest(long,long,tagVARIANT *)	mfc100u
0040A360	8384	CMFCToolBar::OnCommand(uint,long)	mfc100u
0040A364	11198	CMFCToolBar::PreTranslateMessage(tagMSG *)	mfc100u
0040A368	13369	CBasePane::WindowProc(uint,uint,long)	mfc100u
0040A36C	3402	CWnd::DefWindowProcW(uint,uint,long)	mfc100u
0040A370	11081	CWnd::PostNcDestroy(void)	mfc100u
0040A374	7385	CWnd::IsFrameWnd(void)	mfc100u
0040A378	4699	CBasePane::GetCurrentAlignment(void)	mfc100u
0040A37C	7350	CBasePane::IsDocked(void)	mfc100u
0040A380	7485	CPane::IsTabbed(void)	mfc100u
0040A384	7418	CBasePane::IsMDITabbed(void)	mfc100u
0040A388	7506	CBasePane::IsVisible(void)	mfc100u
0040A38C	2382	CBasePane::CanFloat(void)	mfc100u
0040A390	2360	CPane::CanBeTabbedDocument(void)	mfc100u
0040A394	4824	CBasePane::GetDockSiteFrameWnd(void)	mfc100u
0040A398	3904	CMFCToolBar::EnableDocking(ulong)	mfc100u
0040A39C	3568	CPane::DockPane(CBasePane *,tagRECT const *,AFX_DOCK_METHOD)	mfc100u
0040A3A0	4269	CPane::FloatPane(CRect,AFX_DOCK_METHOD,bool)	mfc100u
0040A3A4	13120	CMFCToolBar::StretchPane(int,int)	mfc100u
0040A3A8	1776	CMFCToolBar::AdjustLayout(void)	mfc100u
0040A3AC	11425	CPane::RecalcLayout(void)	mfc100u
0040A3B0	2893	CPane::CreateDefaultMiniframe(CRect)	mfc100u
0040A3B4	8135	CMFCToolBar::OnBeforeChangeParent(CWnd *,int)	mfc100u
0040A3B8	8089	CMFCBaseToolBar::OnAfterChangeParent(CWnd *)	mfc100u
0040A3BC	13010	CBasePane::ShowPane(int,int,int)	mfc100u
0040A3C0	5640	CBasePane::GetParentMiniFrame(int)	mfc100u
0040A3C4	7605	CMFCToolBar::LoadState(wchar_t const *,int,uint)	mfc100u
0040A3C8	11912	CMFCToolBar::SaveState(wchar_t const *,int,uint)	mfc100u
0040A3CC	7971	CBasePane::MoveWindow(CRect &,int,void *)	mfc100u
0040A3D0	2734	CBasePane::CopyState(CBasePane *)	mfc100u
0040A3D4	13244	CPane::UndockPane(int)	mfc100u
0040A3D8	10131	CBasePane::OnPaneContextMenu(CWnd *,CPoint)	mfc100u
0040A3DC	2918	CBasePane::CreateEx(ulong,wchar_t const *,wchar_t const *,ulong,tagRECT const &,CWnd *,uint,ulong,CCreateContext *)	mfc100u
0040A3E0	10350	CMFCToolBar::OnSetAccData(long)	mfc100u
0040A3E4	1516	CMFCToolBar::AccNotifyObjectFocusEvent(int)	mfc100u
0040A3E8	3659	CMFCToolBar::DoPaint(CDC *)	mfc100u
0040A3EC	1759	CBasePane::AdjustDockingLayout(void *)	mfc100u
