00401599	00401370	004015e0	                              CClassView::OnCreate	CClassView::FillClassView
00401438	00401370	00401d90	                              CClassView::OnCreate	CClassView::OnChangeVisualStyle
00402501	004024b0	00402400	                        CMFCToolBar::GetButtonSize	CMFCVisualManager::GetInstance
004023ef	004023c0	004024b0	                       CMFCToolBar::GetColumnWidth	CMFCToolBar::GetButtonSize
00402576	00402530	004024b0	                         CMFCToolBar::GetRowHeight	CMFCToolBar::GetButtonSize
004025ea	00402530	004024b0	                         CMFCToolBar::GetRowHeight	CMFCToolBar::GetButtonSize
00402928	004028c0	00402870	              CComCtlWrapper::_ImageList_AddMasked	CComCtlWrapper::GetProcAddress_ImageList_AddMasked
00401e58	00401d90	004028c0	                   CClassView::OnChangeVisualStyle	CComCtlWrapper::_ImageList_AddMasked
004034c0	004033c0	004028c0	                    CFileView::OnChangeVisualStyle	CComCtlWrapper::_ImageList_AddMasked
00401ecc	00401d90	004029f0	                   CClassView::OnChangeVisualStyle	CGdiObject::_CGdiObject
004029b6	004029b0	004029f0	                                 CBitmap::_CBitmap	CGdiObject::_CGdiObject
004029c6	004029c0	004029f0	          CGdiObject::_scalar_deleting_destructor_	CGdiObject::_CGdiObject
00402aec	00402ae0	004029f0	             CBitmap::_scalar_deleting_destructor_	CGdiObject::_CGdiObject
004034f9	004033c0	004029f0	                    CFileView::OnChangeVisualStyle	CGdiObject::_CGdiObject
004038d1	00403850	004029f0	                           CMainFrame::_CMainFrame	CGdiObject::_CGdiObject
00405162	00405120	004029f0	           CAboutDlg::_scalar_deleting_destructor_	CGdiObject::_CGdiObject
004051df	004051a0	004029f0	                             CAboutDlg::_CAboutDlg	CGdiObject::_CGdiObject
0040529c	00405220	004029f0	                           CnotepadApp::OnAppAbout	CGdiObject::_CGdiObject
004053fc	004053f0	004029f0	              CBrush::_scalar_deleting_destructor_	CGdiObject::_CGdiObject
00405426	00405420	004029f0	                                   CBrush::_CBrush	CGdiObject::_CGdiObject
00406138	004060d0	004029f0	      CPropertiesWnd::_scalar_deleting_destructor_	CGdiObject::_CGdiObject
00406218	004061b0	004029f0	                   CPropertiesWnd::_CPropertiesWnd	CGdiObject::_CGdiObject
00407796	00407790	004029f0	                                     CFont::_CFont	CGdiObject::_CGdiObject
004077ac	004077a0	004029f0	               CFont::_scalar_deleting_destructor_	CGdiObject::_CGdiObject
00402dda	00402c90	00402e30	                               CFileView::OnCreate	CFileView::FillFileView
00402d73	00402c90	004033c0	                               CFileView::OnCreate	CFileView::OnChangeVisualStyle
00404bcd	00404a60	00403630	                         CnotepadApp::InitInstance	CMainFrame::CMainFrame
00403826	00403820	00403850	          CMainFrame::_scalar_deleting_destructor_	CMainFrame::_CMainFrame
00403c71	004039f0	00403f20	                              CMainFrame::OnCreate	CMainFrame::CreateDockingWindows
